,Bits,TrackID,Px,Py,Pz,Time,Length,ELoss,DetectorID,X,Y,Z,PdgCode,dist2Wire,StatNb,ViewNb,PlaneNb,LayerNb,StrawNb
0,50331648.0,3.0,-0.35830679535865784,-0.32975268363952637,15.881698608398438,232.04486083984375,0.1392018049955368,1.6004030101157696e-07,50002319.0,8.883408546447754,-61.20230484008789,-1974.8599853515625,-13.0,0.27482156142034564,5,0,0,0,319
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
2,33554432.0,3.0,-0.23909525573253632,0.15236979722976685,25.827625274658203,383.923828125,0.5598794221878052,1.938853301908239e-06,10012283.0,64.40524291992188,3.9189908504486084,2582.24755859375,-13.0,0.39899778339886655,1,0,0,1,283
3,33554432.0,6.0,0.017466124147176743,-0.022434696555137634,0.11161148548126221,384.9855041503906,0.9784576296806335,3.640854629338719e-06,10012334.0,81.98179626464844,-86.29944610595703,2582.238037109375,11.0,0.06063304186637778,1,0,0,1,334
4,33554432.0,3.0,-0.2549746036529541,-0.028889071196317673,17.733240127563477,384.496337890625,0.8244187235832214,2.287340521434089e-06,10002268.0,-247.4508514404297,29.300148010253906,2581.150390625,-13.0,0.2601486626409634,1,0,0,0,268
5,33554432.0,3.0,0.41361746191978455,-0.4863518178462982,33.00611877441406,231.9029998779297,0.7309325933456421,2.7475514343677787e-06,50002301.0,34.25199508666992,-29.362476348876953,-1974.854736328125,13.0,0.1751761681102855,5,0,0,0,301
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
7,33554432.0,3.0,0.7725088596343994,0.05532260611653328,33.178157806396484,383.94451904296875,0.9448655247688293,3.506459506752435e-06,10012268.0,130.43746948242188,29.799638748168945,2582.250244140625,-13.0,0.12036188082457851,1,0,0,1,268
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
10,33554432.0,3.0,0.32167503237724304,-0.5231502056121826,37.081443786621094,383.939697265625,0.3948327898979187,8.87266196514247e-07,10002339.0,54.86073303222656,-95.47441101074219,2581.15625,-13.0,0.4456326488707541,1,0,0,0,339
11,33554432.0,3.0,-0.10993628948926926,-0.12820491194725037,10.600992202758789,408.67413330078125,0.486360102891922,1.944029918377055e-06,30012236.0,46.239356994628906,86.24414825439453,3322.005859375,-13.0,0.001191488809833865,3,0,0,1,236
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
14,33554432.0,3.0,1.0405333042144775,0.24128708243370056,45.51731872558594,232.02011108398438,0.8673766851425171,4.8502865865884814e-06,50012280.0,149.91847229003906,9.022643089294434,-1973.751220703125,-13.0,0.16963717708205175,5,0,0,1,280
15,33554432.0,3.0,0.9568318128585815,-0.16175228357315063,34.520782470703125,384.01434326171875,0.9620703458786011,2.8770300559699535e-06,10012265.0,193.98770141601562,35.279632568359375,2582.25048828125,13.0,0.07963382931333014,1,0,0,1,265
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
17,33554432.0,3.0,-0.587475597858429,0.8273373246192932,20.59142303466797,232.03086853027344,0.5430424809455872,3.880051281157648e-06,50002199.0,74.34832000732422,150.88450622558594,-1974.8662109375,-13.0,0.0033758452309264925,5,0,0,0,199
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
19,33554432.0,2.0,0.20905044674873352,-0.10272731631994247,18.641450881958008,384.3033752441406,0.7629086375236511,6.3251968640543055e-06,10012275.0,233.16204833984375,17.903425216674805,2582.251708984375,-211.0,0.3034299763570712,1,0,0,1,275
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
23,33554432.0,3.0,0.023222966119647026,-0.6653017401695251,15.189620971679688,384.1387023925781,0.586683988571167,9.222458174917847e-07,10002413.0,-86.4842300415039,-225.77113342285156,2581.1669921875,-13.0,0.38924212394207547,1,0,0,0,413
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
25,33554432.0,3.0,0.06162819266319275,-0.29353734850883484,8.093805313110352,383.94317626953125,0.9720081090927124,3.904207460436737e-06,10002298.0,34.33230972290039,-23.797021865844727,2581.148681640625,-13.0,0.0370471127357354,1,0,0,0,298
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
